Sample	posterior	likelihood	prior	treeLikelihood.dna	Tree.height	YuleModel	birthRate	monophyletic(TaxonSet.dna)	logP(mrca(TaxonSet.dna))	mrca.age(TaxonSet.dna)	clockRate	Tree.treeLength
5200000	-60.9677266397936	NaN	-60.9677266397936	NaN	27.8137776204569	-53.7973220753952	0.173439958077633	0	-2.56523437841028	27.8137776204569	87.768577396091	146.676457041302
5300000	-54.6964380609684	NaN	-54.6964380609684	NaN	23.215602666483	-48.091686141872	0.219593874997925	0	-1.99958173310823	23.215602666483	52.374578265369	111.170397577137
5400000	-67.3153307559902	NaN	-67.3153307559902	NaN	25.3895546487031	-60.8385345405048	0.073961857103848	0	-1.87162602949725	25.3895546487031	79.7089603736914	208.534608110404
5500000	-66.9421730729076	NaN	-66.9421730729076	NaN	25.6680459440807	-60.4261954538089	0.08393729338294	0	-1.9108074331106	25.6680459440807	87.5396710180307	203.742061672216
5600000	-56.1274919865649	NaN	-56.1274919865649	NaN	24.4526883795717	-49.6945466527331	0.231285399416437	0	-1.82777514784368	24.4526883795717	58.7564724910735	119.119387460692
5700000	-68.3818088985351	NaN	-68.3818088985351	NaN	27.1177998361449	-61.4875852256052	0.076758649265401	0	-2.28905348694189	27.1177998361449	68.8317348434763	218.814398999171
5800000	-67.9467014968702	NaN	-67.9467014968702	NaN	24.3912914858216	-61.5116462463944	0.055089482009597	0	-1.82988506448778	24.3912914858216	70.2661270958167	214.522946852472
5900000	-66.4537033235148	NaN	-66.4537033235148	NaN	23.0676763787564	-59.8091614303372	0.123830725254261	0	-2.03937170718955	23.0676763787564	52.9063119976048	189.340827358842
6000000	-59.4029903279545	NaN	-59.4029903279545	NaN	24.742508729138	-52.9715111739849	0.224485165591457	0	-1.82630896798149	24.742508729138	91.6002923557836	134.367348101818
6100000	-72.579597333651	NaN	-72.579597333651	NaN	27.3149766331507	-65.6129712288937	0.084005165941699	0	-2.3614559187692	27.3149766331507	94.3816835309958	267.131129870139
6200000	-55.253176092618	NaN	-55.253176092618	NaN	26.5987851424441	-48.5264058035093	0.171471929657733	0	-2.12160010312069	26.5987851424441	57.4028518700181	114.859215586159
6300000	-60.7818000385934	NaN	-60.7818000385934	NaN	19.774685931681	-51.942976455807	0.107209179842893	0	-4.23365339679832	19.774685931681	19.8012532673112	115.794086595264
6400000	-56.3080886269294	NaN	-56.3080886269294	NaN	25.0071614524827	-49.8660054485083	0.194252749907667	0	-1.83691299243299	25.0071614524827	61.5751291750262	121.730317600905
6500000	-61.8473383692475	NaN	-61.8473383692475	NaN	25.6472672940984	-55.3346783594249	0.123963421816127	0	-1.90748982383451	25.6472672940984	39.0190608211529	155.796197799602
6600000	-68.5415166266283	NaN	-68.5415166266283	NaN	26.9692052890347	-61.6987049599162	0.133183601800177	0	-2.23764148072405	26.9692052890347	88.3406235923342	205.272074436975
6700000	-59.0570912409924	NaN	-59.0570912409924	NaN	20.6087159265487	-51.0396115932234	0.197327923912232	0	-3.41230946178095	20.6087159265487	19.3211475386304	123.259310677226
6800000	-49.0961621892013	NaN	-49.0961621892013	NaN	23.3668624901676	-42.5276511459286	0.475629026442021	0	-1.96334085728459	23.3668624901676	74.1943709373618	83.0950057053559
6900000	-56.5247411372558	NaN	-56.5247411372558	NaN	25.9505685631184	-49.9574846285584	0.264124151659253	0	-1.96208632270929	25.9505685631184	76.7544564900926	119.349753797031
7000000	-67.9915632441341	NaN	-67.9915632441341	NaN	24.4699522015038	-61.5590966118739	0.095278981101373	0	-1.82729644627213	24.4699522015038	91.322508256613	213.530665748895
7100000	-53.7423818719831	NaN	-53.7423818719831	NaN	21.7108995685522	-46.5174085147741	0.187620261736442	0	-2.61980317122089	21.7108995685522	29.4014488148446	100.553342542235
7200000	-65.8552980554046	NaN	-65.8552980554046	NaN	26.29864104488	-59.2094586610254	0.087925862971372	0	-2.04066920839108	26.29864104488	2.31342413803771	190.362084740371
7300000	-64.123156752552	NaN	-64.123156752552	NaN	24.1547437394965	-57.6739489305631	0.141607435642716	0	-1.84403763600077	24.1547437394965	63.4495527566323	171.09741409915
7400000	-69.3489203950836	NaN	-69.3489203950836	NaN	25.4892981721048	-62.8594118920253	0.029684877936911	0	-1.88433831707023	25.4892981721048	56.788375177464	230.074963938578
7500000	-72.4149972009607	NaN	-72.4149972009607	NaN	29.1928555793483	-64.5387785308255	0.006682259266358	0	-3.27104848414704	29.1928555793483	6.92155529652778	296.866972540466
7600000	-72.4445013685039	NaN	-72.4445013685039	NaN	27.3875301386265	-65.4500526773006	0.057526354927763	0	-2.38927850521518	27.3875301386265	34.0400944265627	286.75301402743
7700000	-60.5595333689776	NaN	-60.5595333689776	NaN	28.4018926613785	-53.112681652765	0.143298553567106	0	-2.84168153022453	28.4018926613785	73.9819741191034	143.258923426652
7800000	-68.3385585256969	NaN	-68.3385585256969	NaN	24.058726423432	-61.8808324156915	0.097665500613676	0	-1.85255592401731	24.058726423432	4.22666203226967	215.790441834871
7900000	-55.7929267978672	NaN	-55.7929267978672	NaN	22.5911998059645	-48.9900100750329	0.238529487774974	0	-2.19774653684621	22.5911998059645	44.2307990893652	113.870716511437
8000000	-66.8031960025464	NaN	-66.8031960025464	NaN	21.2725141323007	-59.3002699453975	0.06205309409779	0	-2.89775587116081	21.2725141323007	12.7108082684738	177.497549436026
8100000	-58.1283457277895	NaN	-58.1283457277895	NaN	27.0538625778072	-51.2565789069569	0.21508156436321	0	-2.2665966348445	27.0538625778072	11.1910317153237	129.752287815119
8200000	-73.7660382762693	NaN	-73.7660382762693	NaN	28.617443531318	-66.2085285257186	0.074926444796333	0	-2.95233956456263	28.617443531318	8.64243767099306	283.479819005365
8300000	-60.9853313770102	NaN	-60.9853313770102	NaN	27.010637239306	-54.1284602215303	0.155232607386213	0	-2.25170096949181	27.010637239306	17.5127207653468	148.866143742942
8400000	-68.8905750601885	NaN	-68.8905750601885	NaN	28.3670433763407	-61.4611533590778	0.104068084381128	0	-2.82425151512267	28.3670433763407	40.5293722341522	214.071888643279
8500000	-71.864738242004	NaN	-71.864738242004	NaN	26.579897089953	-65.143411778012	0.033785788950141	0	-2.11615627800396	26.579897089953	27.790553784797	303.120977706019
8600000	-68.4578977919599	NaN	-68.4578977919599	NaN	26.0268421308983	-61.8748560149009	0.030897182675017	0	-1.9778715910709	26.0268421308983	75.0125276701326	200.231375954541
8700000	-61.178290863373	NaN	-61.178290863373	NaN	28.462955973704	-53.7005871179689	0.125504633476155	0	-2.87253355941607	28.462955973704	53.8801866047614	145.694076871045
8800000	-68.7802450839589	NaN	-68.7802450839589	NaN	27.7256380884375	-61.6479496984563	0.039114691290517	0	-2.5271251995146	27.7256380884375	94.4848556761451	209.116117715934
8900000	-68.5179673047145	NaN	-68.5179673047145	NaN	24.7952323327615	-62.0852724394758	0.039771250745666	0	-1.82752467925062	24.7952323327615	77.2462178240769	217.985172462012
9000000	-67.0411947326919	NaN	-67.0411947326919	NaN	19.6473687468932	-58.0585227785769	0.082911155799072	0	-4.37750176812689	19.6473687468932	57.2858929682212	169.17879231138
9100000	-73.8276648072344	NaN	-73.8276648072344	NaN	29.9814121948766	-65.4626860152779	0.055013163703792	0	-3.75980860596835	29.9814121948766	9.86664596865337	291.905539023284
9200000	-53.3254926848394	NaN	-53.3254926848394	NaN	20.2530749887152	-44.9827277996098	0.250278266643066	0	-3.73759469924151	20.2530749887152	95.7053800102328	94.8688048883637
9300000	-68.4055943423259	NaN	-68.4055943423259	NaN	27.6379969150078	-61.310309347652	0.098442563028684	0	-2.49011480868588	27.6379969150078	93.5029641263995	213.33960936042
9400000	-58.9030497260957	NaN	-58.9030497260957	NaN	23.4245117545522	-52.3471856446519	0.153558882061608	0	-1.95069389545567	23.4245117545522	6.95572220831179	133.728019425528
9500000	-58.9590811185482	NaN	-58.9590811185482	NaN	23.9532708606578	-52.4901204121854	0.166220340874422	0	-1.86379052037468	23.9532708606578	26.8060559328409	135.407336793597
9600000	-68.1442163726324	NaN	-68.1442163726324	NaN	22.2725168861138	-61.2085799490119	0.071230851861288	0	-2.33046623763241	22.2725168861138	12.4413377985022	210.391767266099
9700000	-61.9542679120667	NaN	-61.9542679120667	NaN	21.4775444323313	-54.5872276246162	0.161937146171401	0	-2.76187010146244	21.4775444323313	37.7520487965758	145.877337363074
9800000	-70.0478629483007	NaN	-70.0478629483007	NaN	27.8644730507228	-62.8551389080768	0.066902252594502	0	-2.58755385423583	27.8644730507228	84.4212663424407	240.280822150619
9900000	-65.563374141994	NaN	-65.563374141994	NaN	23.0368614497569	-58.9099948009747	0.110224392469152	0	-2.04820915503118	23.0368614497569	36.6191256060209	183.796559962701
10000000	-62.9556620441714	NaN	-62.9556620441714	NaN	21.8593822479737	-55.8142869134106	0.181393130082033	0	-2.53620494477273	21.8593822479737	92.9942468973973	151.203224660994
